row_id,unicode_dec,unicode,char,standard_rank,level,strokes_db,idx,track,baseline_evidence_status,cjkdecomp_raw,struct_cjkdecomp,struct_cjkvi,struct_dual,unihan_kangxi_radical,unihan_total_strokes,baseline_stroke_count,strokes_dual,tier
PENC_001,13383,U+3447,㑇,6602,三级,7,1607,provisional,REVIEW_REQUIRED,"a(亻,刍)",左右,左右,agree,9,7,7,agree,T1
PENC_002,13386,U+344A,㑊,6700,三级,8,1610,provisional,REVIEW_REQUIRED,"a(亻,亦)",左右,左右,agree,9,8,8,agree,T1
PENC_003,13678,U+356E,㕮,6592,三级,7,1902,provisional,REVIEW_REQUIRED,"a(口,父)",左右,左右,agree,30,7,7,agree,T1
PENC_004,13838,U+360E,㘎,7936,三级,17,14,provisional,REVIEW_REQUIRED,"a(口,阚)",左右,左右,agree,30,18,17,diff,T2
PENC_005,13901,U+364D,㙍,7118,三级,11,77,provisional,REVIEW_REQUIRED,"a(土,叕)",左右,左右,agree,32,11,11,agree,T1
PENC_006,13912,U+3658,㙘,7292,三级,12,88,provisional,REVIEW_REQUIRED,"a(土,要)",左右,左右,agree,32,12,12,agree,T1
PENC_007,13926,U+3666,㙦,7698,三级,14,102,provisional,REVIEW_REQUIRED,"d(斜,土)",上下,上下,agree,32,14,14,agree,T1
PENC_008,14019,U+36C3,㛃,6757,三级,9,195,provisional,REVIEW_REQUIRED,"d(㓞,女)",上下,上下,agree,38,9,9,agree,T1
PENC_009,14042,U+36DA,㛚,7088,三级,10,218,provisional,REVIEW_REQUIRED,"a(女,甬)",左右,左右,agree,38,10,10,agree,T1
PENC_010,14073,U+36F9,㛹,7450,三级,12,249,provisional,REVIEW_REQUIRED,"a(女,便)",左右,左右,agree,38,12,12,agree,T1
PENC_011,14275,U+37C3,㟃,6686,三级,8,451,provisional,REVIEW_REQUIRED,"a(山,司)",左右,左右,agree,46,8,8,agree,T1
PENC_012,14343,U+3807,㠇,7782,三级,15,519,provisional,REVIEW_REQUIRED,"d(山,就)",上下,上下,agree,46,15,15,agree,T1
PENC_013,14355,U+3813,㠓,7868,三级,16,531,provisional,REVIEW_REQUIRED,"a(山,蒙)",左右,左右,agree,46,16,16,agree,T1
