row_id,char,unicode,cnbe,cnbe_hex,radix,radix_name,strokes,struct_type,struct_name,idx,ext,human_decomposition,authority
PENC_001,㑇,13383,154788976,0x0939E470,9,人,7,3,左右,1607,0,亻刍,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_002,㑊,13386,155313312,0x0941E4A0,9,人,8,3,左右,1610,0,亻亦,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_003,㕮,13678,507115232,0x1E39F6E0,30,口,7,3,左右,1902,0,口父,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_004,㘎,13838,512327904,0x1E8980E0,30,口,17,3,左右,14,0,口阚,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_005,㙍,13901,542737616,0x205984D0,32,土,11,3,左右,77,0,土叕,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_006,㙘,13912,543262080,0x20618580,32,土,12,3,左右,88,0,土要,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_007,㙦,13926,544245344,0x20708660,32,土,14,1,上下,102,0,斜土,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_008,㛃,14019,642288688,0x26488C30,38,女,9,1,上下,195,0,㓞女,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_009,㛚,14042,642878880,0x26518DA0,38,女,10,3,左右,218,0,女甬,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_010,㛹,14073,643927952,0x26618F90,38,女,12,3,左右,249,0,女便,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_011,㟃,14275,776051760,0x2E419C30,46,山,8,3,左右,451,0,山司,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_012,㠇,14343,779657328,0x2E78A070,46,山,15,1,上下,519,0,山就,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_013,㠓,14355,780247344,0x2E81A130,46,山,16,3,左右,531,0,山蒙,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_014,㤘,14616,1027715456,0x3D41B180,61,⺗,8,3,左右,792,0,忄刍,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_015,㥄,14660,1029289024,0x3D59B440,61,⺗,11,3,左右,836,0,忄夌,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_016,㧐,14800,1077525760,0x4039BD00,64,手,7,3,左右,976,0,扌双,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_017,㧑,14801,1077525776,0x4039BD10,64,手,7,3,左右,977,0,扌为,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_018,㧟,14815,1078050288,0x4041BDF0,64,手,8,3,左右,991,0,扌汇,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_019,㫰,15088,1213845248,0x4859CF00,72,日,11,3,左右,1264,0,日良,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_020,㬊,15114,1214828704,0x4868D0A0,72,日,13,1,上下,1290,0,日爱,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_021,㬎,15118,1215353056,0x4870D0E0,72,日,14,1,上下,1294,0,日𢇁,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_022,㬚,15130,1216500128,0x488251A0,72,日,16,4,左中右,1306,0,日育攵,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_023,㭎,15182,1262605536,0x4B41D4E0,75,木,8,3,左右,1358,0,木冈,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_024,㭕,15189,1263129936,0x4B49D550,75,木,9,3,左右,1365,0,木去,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_025,㮾,15294,1265687520,0x4B70DBE0,75,木,14,1,上下,1470,0,朗木,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_026,㰀,15360,1268375552,0x4B99E000,75,木,19,3,左右,1536,0,木黎,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_027,㳇,15559,1429859440,0x5539EC70,85,水,7,3,左右,1735,0,氵父,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_028,㳘,15576,1430908288,0x5549ED80,85,水,9,3,左右,1752,0,氵充,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_029,㳚,15578,1430908320,0x5549EDA0,85,水,9,3,左右,1754,0,氵戍,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_030,㴔,15636,1432482112,0x5561F140,85,水,12,3,左右,1812,0,氵急,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_031,㵐,15696,1434055936,0x5579F500,85,水,15,3,左右,1872,0,氵厥,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_032,㶲,15794,1447688992,0x5649FB20,86,火,9,3,左右,1970,0,火用,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_033,㸆,15878,1452900448,0x56998060,86,火,19,3,左右,6,0,火靠,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_034,㸌,15884,1453424832,0x56A180C0,86,火,20,3,左右,12,0,火霍,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_035,㺄,16004,1583450176,0x5E618840,94,犬,12,3,左右,132,0,犭俞,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_036,㻬,16108,1618579136,0x60798EC0,96,玄,15,3,左右,236,0,王雩,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_037,㽏,16207,1668322544,0x637094F0,99,甘,14,1,上下,335,0,洽甘,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_038,㿠,16352,1784258048,0x6A599E00,106,白,11,3,左右,480,0,白光,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_039,䁖,16470,1836164448,0x6D71A560,109,目,14,3,左右,598,0,目娄,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
PENC_040,䂮,16558,1884859104,0x7058AAE0,112,石,11,1,上下,686,0,㓞石,HUMAN_AUDIT_PROJECT_BASELINE_USER_AUTHORIZED_2026_07_27
