row_id,char,unicode,final_project_basis,structure,decomposition_status,external_reference_role,unihan_zdic_radical_status,candidate_cnbe_status,source_table_write_authorized
PENC_169,𫢸,U+2B8B8,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_170,𫫇,U+2BAC7,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_ZDIC_GAP,NOT_GENERATED,false
PENC_171,𫭟,U+2BB5F,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_172,𫭢,U+2BB62,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_173,𫭼,U+2BB7C,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_174,𫮃,U+2BB83,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_175,𫰛,U+2BC1B,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_176,𫵷,U+2BD77,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_177,𫶇,U+2BD87,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_178,𫷷,U+2BDF7,HUMAN_AUDIT,左上包,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_179,𫸩,U+2BE29,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_180,𬀩,U+2C029,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_181,𬀪,U+2C02A,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_182,𬂩,U+2C0A9,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_183,𬃊,U+2C0CA,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_184,𬇕,U+2C1D5,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_185,𬇙,U+2C1D9,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_ZDIC_GAP,NOT_GENERATED,false
PENC_186,𬇹,U+2C1F9,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_187,𬉼,U+2C27C,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_188,𬊈,U+2C288,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_189,𬊤,U+2C2A4,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_190,𬌗,U+2C317,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_191,𬍛,U+2C35B,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_DUAL_DISAGREE,NOT_GENERATED,false
PENC_192,𬍡,U+2C361,HUMAN_AUDIT,上下,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_193,𬍤,U+2C364,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_DUAL_DISAGREE,NOT_GENERATED,false
PENC_194,𬒈,U+2C488,HUMAN_AUDIT,上中下,HUMAN_APPROVED_NONRENDERABLE_COMPONENT_GLYPH,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_ZDIC_GAP,NOT_GENERATED,false
PENC_195,𬒔,U+2C494,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_196,𬒗,U+2C497,HUMAN_AUDIT,左右,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
PENC_197,𬕂,U+2C542,HUMAN_AUDIT,上下,HUMAN_DECOMPOSITION_RECORDED,ALIGNMENT_ONLY_NOT_GOLD_STANDARD,RADICAL_CONFIRMED,NOT_GENERATED,false
