input_order,char,component_1,component_2,human_note
1,𫢸,亻,单,
2,𫫇,口,恶,
3,𫭟,土,区,
4,𫭢,土,仑,
5,𫭼,土,劳,
6,𫮃,土,单,
7,𫰛,女,𢀖,
8,𫵷,山,历,
9,𫶇,山,带,
10,𫷷,广,钦,
11,𫸩,弓,区,
12,𬀩,日,韦,
13,𬀪,日,见,
14,𬂩,木,夹,
15,𬃊,木,质,
16,𬇕,氵,万,
17,𬇙,氵,贝,
18,𬇹,氵,国,
19,𬉼,火,区,
20,𬊈,火,寻,
21,𬊤,火,单,
22,𬌗,牙,合,provided_as_牙_合; alternative_note_牛_合
23,𬍛,王,乐,
24,𬍡,汤,玉,provided_as_汤_玉
25,𬍤,王,寻,
26,𬒈,,石,component_1_unknown
27,𬒔,石,肯,
28,𬒗,石,览,
29,𬕂,⺮,页,
30,𬘓,纟,川,
31,𬘘,纟,冘,
32,𬘡,纟,因,
33,𬘩,纟,廷,
34,𬘫,纟,完,
35,𬘬,纟,青,
36,𬘭,纟,林,
37,𬘯,纟,享,
38,𬙂,纟,寅,
39,𬙊,纟,墨,
40,𬙋,纟,襄,
41,𬜬,艹,问,
42,𬜯,艹,两,
43,𬞟,艹,频,
44,𬟁,艹,鬲鸟,
45,𬟽,虫,东,
46,𬣙,讠,于,
47,𬣞,讠,㝉,
48,𬣡,讠,戋,
49,𬣳,讠,艮,
50,𬤇,讠,垔,
51,𬤊,讠,是,
52,𬤝,讠,惠,
53,𬨂,车,氏,
54,𬨎,车,酋,
55,𬩽,寻,阝,
56,𬪩,酉,农,
57,𬬩,钅,戈,
58,𬬭,钅,仑,
59,𬬮,钅,长,
60,𬬱,钅,斤,
61,𬬸,钅,术,
62,𬬹,钅,申,
63,𬬻,钅,卢,
64,𬬿,钅,召,
65,𬭁,钅,母,
66,𬭊,钅,木土,component_2_composite
67,𬭎,钅,宏,
68,𬭚,钅,享,
69,𬭛,钅,波,
70,𬭤,钅,侯,
71,𬭩,钅,翁,
72,𬭬,钅,彗,
73,𬭯,钅,敝,
74,𬭳,钅,喜,
75,𬭶,钅,黑,
76,𬭸,钅,粦,
77,𬭼,钅,隧,
78,𬮱,门,垔,
79,𬮿,阝,岂,provided_as_阝_岂; possible_门_岂
80,𬯀,阝,齐,
81,𬯎,阝,贵,
82,𬱖,由,页,
83,𬱟,危,页,
84,𬳵,马,丕,
85,𬳶,马,冋,
86,𬳽,马,先,
87,𬳿,马,余,
88,𬴂,马,非,
89,𬴃,马,砉,
90,𬴊,马,粦,
91,𬶋,鱼,句,
92,𬶍,鱼,它,
93,𬶏,鱼,危,
94,𬶐,鱼,兆,
95,𬶟,鱼,刺,
96,𬶠,鱼,柬,
97,𬶨,既,鱼,
98,𬶭,鱼,祭,
99,𬶮,鱼,鸟,
100,𬷕,甫,鸟,
101,𬸘,匽,鸟,
102,𬸚,狱,鸟,
103,𬸣,,鸟,component_1_unknown
104,𬸦,族,鸟,owner_corrected_族_鸟
105,𬸪,齿,奇,owner_corrected_齿_奇
106,𬹼,齿,介,
107,𬺈,齿,奇,
108,𬺓,齿,楚,
