character,unicode_codepoint,standard_rank,status,merge_status,approved_basis,approved_radical,approved_canonical_radical,approved_radical_resolution,approved_radix,approved_strokes,approved_agent_structure,approved_agent_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,proposed_radix,proposed_radix_name,proposed_canonical_radical,proposed_strokes,proposed_struct_type,proposed_struct_name,proposed_index,proposed_ext,roundtrip_pass,decoded_radix,decoded_strokes,decoded_struct_type,decoded_index,decoded_ext,write_gate,block_reason,block_detail
一,U+4E00,1,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,1,独体字,0,一,17301504,0x01080000,1,一,1,single,0,0,0,17301504,0x01080000,1,一,一,1,0,独体字,0,0,True,1,1,0,0,0,NO_WRITE_DRY_RUN_ONLY,,
乙,U+4E59,2,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,乙,乙,DIRECT,5,1,独体字,0,乙,1524991376,0x5AE58590,90,爿,28,full-wrap,11,89,0,84411792,0x05080590,5,乙,乙,1,0,独体字,89,0,True,5,1,0,89,0,NO_WRITE_DRY_RUN_ONLY,,
二,U+4E8C,3,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,二,二,DIRECT,7,2,独体字,0,二,2374830272,0x8D8D08C0,141,虍,17,left-wrap,10,140,0,118491328,0x071008C0,7,二,二,2,0,独体字,140,0,True,7,2,0,140,0,NO_WRITE_DRY_RUN_ONLY,,
十,U+5341,4,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,十,十,DIRECT,24,2,独体字,0,十,1047221264,0x3E6B5410,62,戈,13,top-right-wrap,6,1345,0,403723280,0x18105410,24,十,十,2,0,独体字,1345,0,True,24,2,0,1345,0,NO_WRITE_DRY_RUN_ONLY,,
丁,U+4E01,5,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,2,独体字,0,丁,34635792,0x02108010,2,丨,2,left-right,1,1,0,17825808,0x01100010,1,一,一,2,0,独体字,1,0,True,1,2,0,1,0,NO_WRITE_DRY_RUN_ONLY,,
厂,U+5382,6,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,厂,厂,DIRECT,27,2,独体字,0,厂,2139314208,0x7F835820,127,耒,16,top-right-wrap,6,1410,0,454055968,0x1B105820,27,厂,厂,2,0,独体字,1410,0,True,27,2,0,1410,0,NO_WRITE_DRY_RUN_ONLY,,
七,U+4E03,7,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,2,独体字,0,七,69304368,0x04218030,4,丿,4,up-down,3,3,0,17825840,0x01100030,1,一,一,2,0,独体字,3,0,True,1,2,0,3,0,NO_WRITE_DRY_RUN_ONLY,,
卜,U+535C,8,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,卜,卜,DIRECT,25,2,独体字,0,卜,1498142144,0x594BD5C0,89,爻,9,bottom-left-wrap,7,1372,0,420500928,0x191055C0,25,卜,卜,2,0,独体字,1372,0,True,25,2,0,1372,0,NO_WRITE_DRY_RUN_ONLY,,
八,U+516B,9,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,八,八,DIRECT,12,2,独体字,0,八,339883696,0x144236B0,20,勹,8,up-mid-down,4,875,0,202389168,0x0C1036B0,12,八,八,2,0,独体字,875,0,True,12,2,0,875,0,NO_WRITE_DRY_RUN_ONLY,,
人,U+4EBA,10,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,人,人,DIRECT,9,2,独体字,0,人,3137997728,0xBB0A0BA0,187,馬,1,up-mid-down,4,186,0,152046496,0x09100BA0,9,人,人,2,0,独体字,186,0,True,9,2,0,186,0,NO_WRITE_DRY_RUN_ONLY,,
