char,unicode,standard_rank,status,current_cnbe,current_cnbe_hex,proposed_cnbe,proposed_cnbe_hex,current_radix,proposed_radix,current_radix_name,proposed_radix_name,current_strokes,proposed_strokes,current_struct_type,proposed_struct_type,current_struct_name,proposed_struct_name,index_preserved,human_decision_id,target_dataset,source_table_write_status,database_rebuild_status
一,U+4E00,1,COPIED_DATASET_PATCH_APPLIED,17301504,0x01080000,17301504,0x01080000,1,1,一,一,1,1,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乙,U+4E59,2,COPIED_DATASET_PATCH_APPLIED,1524991376,0x5AE58590,84411792,0x05080590,90,5,爿,乙,28,1,11,0,full-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
二,U+4E8C,3,COPIED_DATASET_PATCH_APPLIED,2374830272,0x8D8D08C0,118491328,0x071008C0,141,7,虍,二,17,2,10,0,left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
十,U+5341,4,COPIED_DATASET_PATCH_APPLIED,1047221264,0x3E6B5410,403723280,0x18105410,62,24,戈,十,13,2,6,0,top-right-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
丁,U+4E01,5,COPIED_DATASET_PATCH_APPLIED,34635792,0x02108010,17825808,0x01100010,2,1,丨,一,2,2,1,0,left-right,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
厂,U+5382,6,COPIED_DATASET_PATCH_APPLIED,2139314208,0x7F835820,454055968,0x1B105820,127,27,耒,厂,16,2,6,0,top-right-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
七,U+4E03,7,COPIED_DATASET_PATCH_APPLIED,69304368,0x04218030,17825840,0x01100030,4,1,丿,一,4,2,3,0,up-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
卜,U+535C,8,COPIED_DATASET_PATCH_APPLIED,1498142144,0x594BD5C0,420500928,0x191055C0,89,25,爻,卜,9,2,7,0,bottom-left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
八,U+516B,9,COPIED_DATASET_PATCH_APPLIED,339883696,0x144236B0,202389168,0x0C1036B0,20,12,勹,八,8,2,4,0,up-mid-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
人,U+4EBA,10,COPIED_DATASET_PATCH_APPLIED,3137997728,0xBB0A0BA0,152046496,0x09100BA0,187,9,馬,人,1,2,4,0,up-mid-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
