code,main,attached,forms,form_count,stroke_group,docx_text_layer,public_baseline,wiki_template,source_status,note
1,一,,,0,一画,,,,CONSISTENT,
2,丨,亅,亅,1,一画,亅,亅,,DIFF,维基模板把 亅 挂在 5 乛 后；docx 与 ichara 均为 2 丨（亅），采用 docx/ichara
3,丿,,,0,一画,,,,CONSISTENT,
4,丶,,,0,一画,,,,CONSISTENT,
5,乛,,,0,一画,,,亅乚乙,DIFF,标准 5.5：乛 部 15 个附形部首因数量较多未在部首表中列出
6,十,,,0,二画,,,,CONSISTENT,
7,厂,⺁,⺁,1,二画,厂,⺁,𠂆,VARIANT,
8,匚,,,0,二画,,,,CONSISTENT,
9,卜,⺊,⺊,1,二画,卜,⺊,⺊,CONSISTENT,
10,冂,⺆,⺆,1,二画,門,⺆,⺆,CONSISTENT,
11,八,丷,丷,1,二画,丷,丷,丷,CONSISTENT,
12,人,亻入,亻/入,2,二画,亻人,亻入,亻入,CONSISTENT,
13,勹,,,0,二画,,,,CONSISTENT,
14,儿,,,0,二画,,,,CONSISTENT,
15,匕,,,0,二画,,,,CONSISTENT,
16,几,⺇,⺇,1,二画,几,⺇,𠘨,VARIANT,
17,亠,,,0,二画,,,,CONSISTENT,
18,冫,,,0,二画,,,,CONSISTENT,
19,冖,,,0,二画,,,,CONSISTENT,
20,凵,,,0,二画,,,,CONSISTENT,
21,卩,⺋,⺋,1,二画,卩,⺋,㔾,VARIANT,
22,刀,刂⺈,刂/⺈,2,二画,刂,刂⺈,刂⺈,CONSISTENT,
23,力,,,0,二画,,,,CONSISTENT,
24,又,,,0,二画,,,,CONSISTENT,
25,厶,,,0,二画,,,,CONSISTENT,
26,廴,,,0,二画,,,,CONSISTENT,
27,干,,,0,三画,,,,CONSISTENT,
28,工,,,0,三画,,,,CONSISTENT,
29,土,士,士,1,三画,士,士,士,CONSISTENT,
30,艹,艸,艸,1,三画,艸,艸,艸,CONSISTENT,
31,寸,,,0,三画,,,,CONSISTENT,
32,廾,,,0,三画,,,,CONSISTENT,
33,大,,,0,三画,,,,CONSISTENT,
34,尢,兀尣,兀/尣,2,三画,兀允,兀尣,兀尣,CONSISTENT,
35,弋,,,0,三画,,,,CONSISTENT,
36,小,⺌,⺌,1,三画,⺌,⺌,⺌,CONSISTENT,
37,口,,,0,三画,,,,CONSISTENT,
38,囗,,,0,三画,,,,CONSISTENT,
39,山,,,0,三画,,,,CONSISTENT,
40,巾,,,0,三画,,,,CONSISTENT,
41,彳,,,0,三画,,,,CONSISTENT,
42,彡,,,0,三画,,,,CONSISTENT,
43,夕,,,0,三画,,,,CONSISTENT,
44,夂,,,0,三画,,,,CONSISTENT,
45,丬,爿,爿,1,三画,爿,爿,爿,CONSISTENT,
46,广,,,0,三画,,,,CONSISTENT,
47,门,門,門,1,三画,門,門,門,CONSISTENT,
48,宀,,,0,三画,,,,CONSISTENT,
49,辶,辵,辵,1,三画,辵,辵,辵,CONSISTENT,
50,彐,彐彑,彐/彑,2,三画,彑彐,彐彑,⺕彑,NEEDS_REVIEW,docx 文字层为 彑彐，维基模板为 ⺕彑，原公开转载表为 彐彑；字形/顺序待官方页图像最终确认
51,尸,,,0,三画,,,,CONSISTENT,
52,己,已巳,已/巳,2,三画,已巳,已巳,已巳,CONSISTENT,
