id,main,attached_forms,ocr_main,ocr_attached_forms,status
1,一,,一,,MATCH
2,丨,亅,|,丿,OCR_MAIN_MISMATCH_AND_ATTACHED
3,丿,,丿,,MATCH
4,丶,,丶,,MATCH
5,乛,,一,,OCR_MAIN_MISMATCH
6,十,,十,,MATCH
7,厂,⺁,厂,厂,OCR_ATTACHED_MISMATCH
8,匚,,匚,,MATCH
9,卜,⺊,卜,卜,OCR_ATTACHED_MISMATCH
10,冂,⺆,冂,冂,OCR_ATTACHED_MISMATCH
11,八,丷,八,丷,MATCH
12,人,亻入,人,亻入,MATCH
13,勹,,勺,,OCR_MAIN_MISMATCH
14,儿,,儿,,MATCH
15,匕,,匕,,MATCH
16,几,⺇,几,几,OCR_ATTACHED_MISMATCH
17,亠,,亠,,MATCH
18,冫,,亻,,OCR_MAIN_MISMATCH
19,冖,,丷,,OCR_MAIN_MISMATCH
20,凵,,凵,,MATCH
21,卩,⺋,卩,巳,OCR_ATTACHED_MISMATCH
22,刀,刂⺈,刀,刂ヶ,OCR_ATTACHED_MISMATCH
23,力,,力,,MATCH
24,又,,又,,MATCH
25,厶,,厶,,MATCH
26,廴,,廴,,MATCH
27,干,,干,,MATCH
28,工,,工,,MATCH
29,土,士,土,士,MATCH
30,艹,艸,艹,艸,MATCH
31,寸,,寸,,MATCH
32,廾,,卄,,OCR_MAIN_MISMATCH
33,大,,大,,MATCH
34,尢,兀尣,尢,兀允,OCR_ATTACHED_MISMATCH
35,弋,,弋,,MATCH
36,小,⺌,小,ヵ,OCR_ATTACHED_MISMATCH
37,口,,口,,MATCH
38,囗,,囗,,MATCH
39,山,,山,,MATCH
40,巾,,巾,,MATCH
41,彳,,彳,,MATCH
42,彡,,彡,,MATCH
43,夕,,夕,,MATCH
44,夂,,夂,,MATCH
45,丬,爿,牜,爿,OCR_MAIN_MISMATCH
46,广,,广,,MATCH
47,门,門,门,門,MATCH
48,宀,,ヘ,,OCR_MAIN_MISMATCH
49,辶,辵,辶,辵,MATCH
50,彐,彐彑,彐,丶互,OCR_ATTACHED_MISMATCH
51,尸,,尸,,MATCH
52,己,已巳,己,巳巳,OCR_ATTACHED_MISMATCH
53,弓,,弓,,MATCH
54,子,,子,,MATCH
55,屮,,屮,屮,MATCH
56,女,,女,,MATCH
57,飞,飛,飞,,MATCH
58,马,馬,马,馬,MATCH
59,幺,,幺,,MATCH
60,巛,,巛,,MATCH
61,王,玉,王,玉,MATCH
62,无,旡,无,无,OCR_ATTACHED_MISMATCH
63,韦,韋,韦,,MATCH
64,木,朩,木,木,OCR_ATTACHED_MISMATCH
65,支,,支,,MATCH
66,犬,犭,犬,犭,MATCH
67,歹,歺,歹,歺,MATCH
68,车,車,车,车車,OCR_ATTACHED_MISMATCH
69,牙,,牙,,MATCH
70,戈,,戈,,MATCH
71,比,,比,,MATCH
72,瓦,,瓦,,MATCH
