step,total,loss,steps_per_sec
10,125976,7.1331,0.28
20,125976,6.5508,0.29
30,125976,6.7752,0.3
40,125976,5.6752,0.3
50,125976,6.0675,0.3
60,125976,5.8683,0.3
70,125976,5.5779,0.3
80,125976,5.4027,0.3
11410,125976,5.4742,1.93
11420,125976,5.8037,1.93
11430,125976,5.5287,1.93
11440,125976,4.8938,1.93
11450,125976,5.6839,1.93
11460,125976,6.6793,1.93
11470,125976,5.7431,1.93
11480,125976,5.4568,1.93
11490,125976,5.0362,1.93
11500,125976,6.2041,1.93
11510,125976,6.3479,1.93
11520,125976,6.2358,1.93
11530,125976,6.2781,1.93
11540,125976,5.4719,1.93
11550,125976,6.0761,1.93
11560,125976,4.6757,1.93
11570,125976,5.9468,1.93
11580,125976,5.727,1.93
11590,125976,6.3507,1.93
11600,125976,6.4389,1.93
11610,125976,6.4253,1.93
11620,125976,6.5288,1.93
11630,125976,5.6702,1.93
11640,125976,6.0816,1.93
11650,125976,6.0181,1.93
11660,125976,4.9257,1.93
11670,125976,6.634,1.93
11680,125976,6.1365,1.93
11690,125976,6.0495,1.93
11700,125976,6.1338,1.93
11710,125976,6.2156,1.93
11720,125976,4.9725,1.93
11730,125976,6.0285,1.93
11740,125976,6.3988,1.93
11750,125976,6.3722,1.93
11760,125976,5.181,1.93
11770,125976,6.2485,1.93
11780,125976,5.5709,1.93
11790,125976,4.6397,1.93
11800,125976,6.0116,1.93
11810,125976,6.0253,1.93
11820,125976,6.3975,1.93
16470,125976,5.5381,1.93
16480,125976,5.5062,1.93
16490,125976,6.2149,1.93
16500,125976,5.8081,1.93
16510,125976,6.1304,1.93
16520,125976,6.1629,1.93
16530,125976,6.1827,1.93
16540,125976,6.464,1.93
16550,125976,6.439,1.93
16560,125976,6.1328,1.93
16570,125976,5.861,1.93
16580,125976,6.1619,1.93
16590,125976,5.1961,1.93
16600,125976,6.2429,1.93
16610,125976,6.2817,1.93
16620,125976,5.3205,1.93
16630,125976,5.3173,1.93
16640,125976,5.1956,1.93
16650,125976,5.585,1.93
16660,125976,5.8357,1.93
16670,125976,6.3579,1.93
16680,125976,5.9806,1.93
16690,125976,6.132,1.93
16700,125976,6.1609,1.93
16710,125976,6.2391,1.93
16720,125976,5.5549,1.93
16730,125976,6.4345,1.93
16740,125976,6.3988,1.93
16750,125976,6.0792,1.93
16760,125976,4.8423,1.93
16770,125976,6.7295,1.93
16780,125976,5.9613,1.93
16790,125976,6.4936,1.93
16800,125976,5.9806,1.93
16810,125976,6.1648,1.93
16820,125976,4.4456,1.93
16830,125976,4.9329,1.93
16840,125976,6.0747,1.93
28660,125976,4.6157,1.93
28670,125976,5.737,1.93
28680,125976,6.2439,1.93
28690,125976,5.7987,1.93
28700,125976,5.9218,1.93
28710,125976,5.8355,1.93
28720,125976,5.6619,1.93
28730,125976,5.7134,1.93
28740,125976,5.132,1.93
28750,125976,5.1774,1.93
28760,125976,6.0531,1.93
28770,125976,6.0354,1.93
28780,125976,6.0708,1.93
28790,125976,6.3126,1.93
28800,125976,5.4932,1.93
28810,125976,6.2341,1.93
28820,125976,6.2272,1.93
28830,125976,5.9648,1.93
28840,125976,6.0065,1.93
28850,125976,5.2525,1.93
100610,125976,5.7418,1.92
100620,125976,5.2799,1.92
100630,125976,6.0716,1.92
100640,125976,6.0311,1.92
100650,125976,5.4249,1.92
100660,125976,5.2291,1.92
100670,125976,4.8907,1.92
100680,125976,5.5632,1.92
100690,125976,5.9805,1.92
100700,125976,5.0235,1.92
100710,125976,5.7586,1.92
100720,125976,5.9136,1.92
100730,125976,5.8917,1.92
100740,125976,5.9893,1.92
100750,125976,5.9653,1.92
100760,125976,5.5411,1.92
100770,125976,5.7616,1.92
100780,125976,5.7136,1.92
100790,125976,5.1763,1.92
100800,125976,5.4857,1.92
100810,125976,5.3553,1.92
100820,125976,4.6254,1.92
100830,125976,5.1275,1.92
100840,125976,5.7105,1.92
100850,125976,5.7248,1.92
100860,125976,6.1366,1.92
100870,125976,5.7707,1.92
100880,125976,4.4822,1.92
100890,125976,5.8311,1.92
100900,125976,6.224,1.92
100910,125976,6.1665,1.92
100920,125976,5.6346,1.92
100930,125976,5.4506,1.92
100940,125976,5.6328,1.92
100950,125976,5.411,1.92
100960,125976,6.0828,1.92
100970,125976,5.992,1.92
100980,125976,5.4459,1.92
100990,125976,5.8706,1.92
101000,125976,4.5225,1.92
101010,125976,6.0573,1.92
101020,125976,5.9692,1.92
101030,125976,5.4723,1.92
101040,125976,5.6013,1.92
101050,125976,5.7431,1.92
101060,125976,5.3304,1.92
101070,125976,5.8827,1.92
101080,125976,5.0815,1.92
101090,125976,5.8888,1.92
101100,125976,5.7354,1.92
125780,125976,5.6613,1.92
125790,125976,5.571,1.92
125800,125976,5.8671,1.92
125810,125976,5.9898,1.92
125820,125976,5.3818,1.92
125830,125976,5.7508,1.92
125840,125976,6.1644,1.92
125850,125976,4.907,1.92
125860,125976,4.9955,1.92
125870,125976,5.0035,1.92
125880,125976,5.3706,1.92
125890,125976,6.1516,1.92
125900,125976,5.622,1.92
125910,125976,5.6785,1.92
125920,125976,5.4962,1.92
125930,125976,4.5589,1.92
125940,125976,4.9579,1.92
125950,125976,5.3208,1.92
125960,125976,5.2996,1.92
125970,125976,5.4219,1.92
