step,total,loss,steps_per_sec
180,46874,5.7772,0.7
28190,46874,1.8081,0.7
28200,46874,1.8557,0.7
29510,46874,1.6873,0.7
29520,46874,1.7237,0.7
29530,46874,1.6899,0.7
29540,46874,1.7343,0.7
29550,46874,1.6917,0.7
29560,46874,1.6944,0.7
29570,46874,1.7446,0.7
29580,46874,1.7241,0.7
29590,46874,1.6861,0.7
29600,46874,1.6906,0.7
29610,46874,1.7038,0.7
29620,46874,1.7565,0.7
29630,46874,1.6949,0.7
29640,46874,1.7844,0.7
29650,46874,1.7622,0.7
29660,46874,1.6909,0.7
29670,46874,1.7295,0.7
29680,46874,1.6619,0.7
29690,46874,1.6937,0.7
29700,46874,1.6864,0.7
29710,46874,1.6268,0.7
29720,46874,1.6494,0.7
29730,46874,1.6782,0.7
29740,46874,1.6497,0.7
29750,46874,1.7153,0.7
29760,46874,1.708,0.7
29770,46874,1.6879,0.7
29780,46874,1.6954,0.7
29790,46874,1.7013,0.7
29800,46874,1.7226,0.7
29810,46874,1.6739,0.7
29820,46874,1.7414,0.7
29830,46874,1.678,0.7
29840,46874,1.7319,0.7
29850,46874,1.7,0.7
29860,46874,1.6893,0.7
29870,46874,1.6617,0.7
29880,46874,1.739,0.7
29890,46874,1.7101,0.7
29900,46874,1.7364,0.7
29910,46874,1.7033,0.7
29920,46874,1.6897,0.7
29930,46874,1.6854,0.7
29940,46874,1.7297,0.7
29950,46874,1.6664,0.7
29960,46874,1.6412,0.7
29970,46874,1.7041,0.7
29980,46874,1.7294,0.7
29990,46874,1.7495,0.7
30000,46874,1.7271,0.7
30010,46874,1.7435,0.7
39100,46874,1.5788,0.71
39110,46874,1.6031,0.71
39120,46874,1.5821,0.71
39130,46874,1.5912,0.71
39140,46874,1.5496,0.71
39150,46874,1.5754,0.71
41300,46874,1.5078,0.71
41310,46874,1.521,0.71
41320,46874,1.5191,0.71
41330,46874,1.5612,0.71
41340,46874,1.5249,0.71
41350,46874,1.517,0.71
41360,46874,1.5757,0.71
41370,46874,1.5057,0.71
41380,46874,1.5454,0.71
41390,46874,1.5399,0.71
41400,46874,1.5383,0.71
41410,46874,1.4471,0.71
41420,46874,1.544,0.71
41430,46874,1.5167,0.71
43500,46874,1.598,0.71
43510,46874,1.6067,0.71
43520,46874,1.6258,0.71
43530,46874,1.6337,0.71
43540,46874,1.6172,0.71
43550,46874,1.5517,0.71
43560,46874,1.5888,0.71
43570,46874,1.6019,0.71
44120,46874,1.4804,0.71
44130,46874,1.4507,0.71
44140,46874,1.4449,0.71
44150,46874,1.4905,0.71
44160,46874,1.5357,0.71
44170,46874,1.4559,0.71
44180,46874,1.5138,0.71
44190,46874,1.4917,0.71
44200,46874,1.481,0.71
44210,46874,1.5032,0.71
44220,46874,1.4914,0.71
44230,46874,1.5018,0.71
44240,46874,1.494,0.71
44250,46874,1.4828,0.71
44260,46874,1.4953,0.71
46870,46874,1.5675,0.71
