sample_id,unicode,char,cnbe_hex,radical,strokes,struct_type,struct_name,idx,ext,unicode_block,source_sequence,selection_reasons,reviewer_a_radical,reviewer_a_strokes,reviewer_a_structure,reviewer_a_notes,reviewer_b_radical,reviewer_b_strokes,reviewer_b_structure,reviewer_b_notes,adjudication
S0001,U+340F,㐏,0x05280030,5,5,0,独体结构,3,0,CJK Unified Ideographs Extension A,15,structure:0,,,,,,,,,
S0002,U+3410,㐐,0x05300000,5,6,0,独体结构,0,0,CJK Unified Ideographs Extension A,16,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0003,U+341F,㐟,0x05480030,5,9,0,独体结构,3,0,CJK Unified Ideographs Extension A,31,structure:0,,,,,,,,,
S0004,U+3420,㐠,0x05480040,5,9,0,独体结构,4,0,CJK Unified Ideographs Extension A,32,structure:0,,,,,,,,,
S0005,U+34BC,㒼,0x0D5C0010,13,11,8,上三包围,1,0,CJK Unified Ideographs Extension A,188,structure:8,,,,,,,,,
S0006,U+3657,㙗,0x20618090,32,12,3,上下结构,9,0,CJK Unified Ideographs Extension A,599,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0007,U+39B2,㦲,0x3E430020,62,8,6,右上包围,2,0,CJK Unified Ideographs Extension A,1458,structure:6,,,,,,,,,
S0008,U+3E33,㸳,0x5D488030,93,9,1,左右结构,3,0,CJK Unified Ideographs Extension A,2611,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0009,U+3FBB,㾻,0x68788050,104,15,1,左右结构,5,0,CJK Unified Ideographs Extension A,3003,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0010,U+40C7,䃇,0x70688100,112,13,1,左右结构,16,0,CJK Unified Ideographs Extension A,3271,seeded_fill,,,,,,,,,
S0011,U+434D,䍍,0x79808000,121,16,1,左右结构,0,0,CJK Unified Ideographs Extension A,3917,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0012,U+4410,䐐,0x82688030,130,13,1,左右结构,3,0,CJK Unified Ideographs Extension A,4112,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0013,U+4448,䑈,0x82988020,130,19,1,左右结构,2,0,CJK Unified Ideographs Extension A,4168,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0014,U+4486,䒆,0x89908000,137,18,1,左右结构,0,0,CJK Unified Ideographs Extension A,4230,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0015,U+48AD,䢭,0xA2838030,162,16,7,左下包围,3,0,CJK Unified Ideographs Extension A,5293,structure:7,,,,,,,,,
S0016,U+4992,䦒,0xA96C0000,169,13,8,上三包围,0,0,CJK Unified Ideographs Extension A,5522,structure:8,,,,,,,,,
S0017,U+4995,䦕,0xA9740000,169,14,8,上三包围,0,0,CJK Unified Ideographs Extension A,5525,structure:8,,,,,,,,,
S0018,U+4997,䦗,0xA9740020,169,14,8,上三包围,2,0,CJK Unified Ideographs Extension A,5527,structure:8,,,,,,,,,
S0019,U+49AA,䦪,0xA98C0010,169,17,8,上三包围,1,0,CJK Unified Ideographs Extension A,5546,structure:8,,,,,,,,,
S0020,U+4A63,䩣,0xB1808030,177,16,1,左右结构,3,0,CJK Unified Ideographs Extension A,5731,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0021,U+4AF7,䫷,0xB5C88000,181,25,1,左右结构,0,0,CJK Unified Ideographs Extension A,5879,unicode_block:CJK Unified Ideographs Extension A,,,,,,,,,
S0022,U+4E0C,丌,0x01180050,1,3,0,独体结构,5,0,CJK Unified Ideographs,6604,structure:0,,,,,,,,,
S0023,U+4E11,丑,0x01200030,1,4,0,独体结构,3,0,CJK Unified Ideographs,6609,structure:0,,,,,,,,,
S0024,U+4E19,丙,0x01280060,1,5,0,独体结构,6,0,CJK Unified Ideographs,6617,special_radical:1,,,,,,,,,
S0025,U+4E25,严,0x01380020,1,7,0,独体结构,2,0,CJK Unified Ideographs,6629,structure:0,,,,,,,,,
S0026,U+4E3B,主,0x03280000,3,5,0,独体结构,0,0,CJK Unified Ideographs,6651,structure:0,,,,,,,,,
S0027,U+4E4B,之,0x04180050,4,3,0,独体结构,5,0,CJK Unified Ideographs,6667,special_radical:4,,,,,,,,,
S0028,U+4E4C,乌,0x04200000,4,4,0,独体结构,0,0,CJK Unified Ideographs,6668,structure:0,,,,,,,,,
S0029,U+4E68,乨,0x05300060,5,6,0,独体结构,6,0,CJK Unified Ideographs,6696,structure:0,,,,,,,,,
S0030,U+4E89,争,0x06300000,6,6,0,独体结构,0,0,CJK Unified Ideographs,6729,special_radical:6,,,,,,,,,
S0031,U+4F89,侉,0x094082F0,9,8,1,左右结构,47,0,CJK Unified Ideographs,6985,structure:1,,,,,,,,,
S0032,U+5211,刑,0x12308050,18,6,1,左右结构,5,0,CJK Unified Ideographs,7633,structure:1,,,,,,,,,
S0033,U+5273,剳,0x125880E0,18,11,1,左右结构,14,0,CJK Unified Ideographs,7731,seeded_fill,,,,,,,,,
S0034,U+5312,匒,0x145A8030,20,11,5,左上包围,3,0,CJK Unified Ideographs,7890,structure:5,,,,,,,,,
S0035,U+531D,匝,0x162C8020,22,5,9,下三包围,2,0,CJK Unified Ideographs,7901,structure:9,,,,,,,,,
S0036,U+5320,匠,0x16348010,22,6,9,下三包围,1,0,CJK Unified Ideographs,7904,structure:9,,,,,,,,,
S0037,U+5321,匡,0x16348020,22,6,9,下三包围,2,0,CJK Unified Ideographs,7905,structure:9,,,,,,,,,
S0038,U+5328,匨,0x164C8010,22,9,9,下三包围,1,0,CJK Unified Ideographs,7912,structure:9,,,,,,,,,
S0039,U+532A,匪,0x16548000,22,10,9,下三包围,0,0,CJK Unified Ideographs,7914,structure:9,,,,,,,,,
S0040,U+5333,匳,0x167C8000,22,15,9,下三包围,0,0,CJK Unified Ideographs,7923,structure:9,,,,,,,,,
S0041,U+5426,否,0x1E3981C0,30,7,3,上下结构,28,0,CJK Unified Ideographs,8166,structure:3,,,,,,,,,
