branch,last_commit,unique_commits,diff_files,pr,pr_state,ci
chore/db-v1.1-migration,2026-08-20 03:01:35 +0800,0,0,50,closed,green
docs/formal-spec-port,2026-08-20 03:01:35 +0800,0,0,46,closed,green
docs/math-structure-render-fix,2026-08-20 03:01:35 +0800,0,0,45,closed,green
feat/standard-track-closure,2026-08-20 03:01:35 +0800,0,0,49,closed,green
data/basic-cjk-scope-gap,2026-08-20 10:59:47 +0800,2,7,17,closed,green
docs/readme-evidence-boundary-20260728,2026-08-20 10:45:30 +0800,25,13,57,open,green
docs/strict-evidence-correction-20260819,2026-08-20 03:02:00 +0800,4,14,58,open,green
docs/research-origin-readme,2026-08-05 14:17:38 +0800,2,5,,,green
test/legacy-ai-encoding-baseline,2026-07-28 07:30:31 +0800,1,2,,,green
docs/readme-runtime-21178,2026-07-27 07:42:32 +0800,1,3,55,closed,green
feat/penc276-authorized-encoding,2026-07-27 07:13:30 +0800,3,41,54,closed,green
chore/repository-structure-hardening,2026-07-22 13:16:09 +0800,4,39,38,open,green
docs/add-research-position-statement,2026-07-19 21:49:05 +0800,1,6,37,closed,green
docs/document-copilot-agent-limitation,2026-07-19 20:23:11 +0800,1,6,36,closed,green
docs/enable-copilot-agent-readiness-api,2026-07-19 20:02:40 +0800,2,2,34,closed,green
docs/fix-github-agent-filename,2026-07-19 19:53:10 +0800,1,4,33,closed,green
docs/register-github-agent-profile,2026-07-19 19:43:09 +0800,1,4,32,closed,green
data/v4-fixed-sample-inspector,2026-07-17 00:44:06 +0800,1,4,23,closed,green
data/full-catalog-builder,2026-07-11 23:19:58 +0800,2,9,16,closed,green
docs/normalize-historical-claims,2026-07-11 13:21:00 +0800,1,82,15,closed,green
docs/sync-v10-archived-claims,2026-07-11 04:42:39 +0800,1,3,14,closed,green
docs/harden-experiment-claims-and-format-guards,2026-07-11 00:54:08 +0800,1,11,13,closed,green
docs/redesign-v5-v10-experiment-protocols,2026-07-10 21:34:04 +0800,12,12,12,closed,green
docs/redesign-v1-v4-llm-experiments,2026-07-10 20:04:51 +0800,15,15,11,closed,green
chore/post-v1.0.3-release-hardening,2026-07-10 17:54:18 +0800,1,5,10,closed,green
release/prepare-v1.0.3-sdk-hardening,2026-07-10 11:35:17 +0800,1,15,9,closed,green
release/readiness-baseline,2026-07-10 02:40:24 +0800,1,12,6,closed,green
impl/c-rust-golden-vector-consistency,2026-07-10 02:30:07 +0800,2,10,5,closed,green
spec/add-golden-vectors,2026-07-10 01:43:33 +0800,1,6,4,closed,green
docs/readme-geek-polish,2026-07-10 01:34:40 +0800,1,3,3,closed,green
docs/sync-multilingual-readmes,2026-07-10 01:22:23 +0800,1,2,2,closed,green
fix/p0-python-sdk-hardening-clean,2026-07-10 00:33:40 +0800,7,12,1,closed,green
