pilot_id,stratum,unicode,char,catalog_scope,authority_layer,unicode_identity_status,structure_evidence_status,source_grade,next_action,dictionary_context_entries,dictionary_context_sources,yuanliu_context_available,cihai_context_hits,wiki_hit_count,zdic_url,zdic_snapshot_available,gf0017_join_status,blocking_reason,recommended_next_action,gf0017_points_assigned,final_structure_label,cnbe_write_status,editable_copy_notice
8105_core_control_001,8105_core_control,U+3447,㑇,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,0,,False,0,0,https://www.zdic.net/hans/%E3%91%87,True,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_002,8105_core_control,U+4E09,三,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E4%B8%89,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_003,8105_core_control,U+4EA1,亡,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E4%BA%A1,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_004,8105_core_control,U+4F25,伥,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,0,0,https://www.zdic.net/hans/%E4%BC%A5,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_005,8105_core_control,U+4FB5,侵,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E4%BE%B5,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_006,8105_core_control,U+5076,偶,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%81%B6,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_007,8105_core_control,U+5181,冁,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,0,0,https://www.zdic.net/hans/%E5%86%81,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_008,8105_core_control,U+522B,别,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,8,0,https://www.zdic.net/hans/%E5%88%AB,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_009,8105_core_control,U+52FE,勾,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%8B%BE,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_010,8105_core_control,U+53A5,厥,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%8E%A5,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_011,8105_core_control,U+542B,含,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%90%AB,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_012,8105_core_control,U+54B3,咳,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%92%B3,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
