row_id,char,unicode,scope_status,assigned_score,assigned_max,formal_total_max,row_score_status,character_set_coverage_score,character_set_coverage_status,stroke_shape_score,stroke_shape_status,stroke_order_score,stroke_order_status,component_validity_score,component_validity_status,component_name_validity_score,component_name_validity_status,radical_validity_score,radical_validity_status,independent_character_rule_score,independent_character_rule_status,structure_first_decomposition_score,structure_first_decomposition_status,cnbe_write_status,database_rebuild_status,next_required_action
8105_core_control_001,㑇,U+3447,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_002,三,U+4E09,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_003,亡,U+4EA1,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_004,伥,U+4F25,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_005,侵,U+4FB5,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_006,偶,U+5076,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_007,冁,U+5181,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_008,别,U+522B,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_009,勾,U+52FE,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
8105_core_control_010,厥,U+53A5,8105_core_control,6,6,50,PARTIALLY_SCORED_REMAINING_ITEMS_NOT_SCORABLE,3,PASS_8105_CORE_COVERAGE,,NOT_SCORABLE_STROKE_SHAPE_SOURCE_REQUIRED,3,PASS_STANDARD_DERIVED_STROKE_ORDER,,NOT_SCORABLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_COMPONENT_NAME_SOURCE_REQUIRED,,NOT_SCORABLE_RADICAL_SOURCE_REQUIRED,,NOT_SCORABLE_SINGLE_COMPONENT_SOURCE_REQUIRED,,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_SOURCE_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,run_bounded_standardizer_extraction_before_more_scoring
