pilot_id,char,unicode,stratum,base_8105_found,base_unicode_match,standard_level,standard_rank,stroke_count,stroke_order_str,stroke_join_status,dictionary_context_status,structure_join_status,decomposition_join_status,gf0017_points_assigned,final_structure_label,cnbe_write_status,next_required_action
8105_core_control_001,㑇,U+3447,8105_core_control,True,True,三级,6602,7,3 2 3 5 5 1 1,STANDARD_DERIVED_STROKE_JOIN_READY,NO_DICTIONARY_CONTEXT,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_002,三,U+4E09,8105_core_control,True,True,一级,22,3,1 1 1,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_003,亡,U+4EA1,8105_core_control,True,True,一级,54,3,4 1 5,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_004,伥,U+4F25,8105_core_control,True,True,二级,3607,6,3 2 3 1 5 4,STANDARD_DERIVED_STROKE_JOIN_READY,NO_DICTIONARY_CONTEXT,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_005,侵,U+4FB5,8105_core_control,True,True,一级,1574,9,3 2 5 1 1 4 5 5 4,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_006,偶,U+5076,8105_core_control,True,True,一级,2328,11,3 2 2 5 1 1 2 5 2 1 4,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_007,冁,U+5181,8105_core_control,True,True,三级,8023,18,4 3 2 5 1 1 1 2 5 1 3 1 2 2 1 5 3 4,STANDARD_DERIVED_STROKE_JOIN_READY,NO_DICTIONARY_CONTEXT,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_008,别,U+522B,8105_core_control,True,True,一级,751,7,2 5 1 5 3 2 2,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_009,勾,U+52FE,8105_core_control,True,True,一级,158,4,3 5 5 4,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_010,厥,U+53A5,8105_core_control,True,True,二级,5112,12,1 3 4 3 1 5 2 3 3 5 3 4,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_011,含,U+542B,8105_core_control,True,True,一级,800,7,3 4 4 5 2 5 1,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_012,咳,U+54B3,8105_core_control,True,True,一级,1513,9,2 5 1 4 1 5 3 3 4,STANDARD_DERIVED_STROKE_JOIN_READY,CROSS_REFERENCE_CONTEXT_AVAILABLE,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
8105_core_control_013,啕,U+5555,8105_core_control,True,True,二级,4843,11,2 5 1 3 5 3 1 1 2 5 2,STANDARD_DERIVED_STROKE_JOIN_READY,NO_DICTIONARY_CONTEXT,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,0,,NO_CNBE_WRITE,extract_structure_decomposition_from_standard_sources_before_scoring
