row_id,character,unicode_codepoint,standard_rank,original_structure,original_decomposition,original_components,proposed_structure,proposed_decomposition,proposed_components,radical,fill_rule,evidence_layer,authority_boundary,confidence,blocker,review_status,cnbe_write_status,database_rebuild_status,zdic_url
8105_full_0001,一,U+4E00,1,独体字,?,一,独体字,一,一,一,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%B8%80
8105_full_0002,乙,U+4E59,2,独体字,?,乙,独体字,乙,乙,乙,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%B9%99
8105_full_0006,厂,U+5382,6,独体字,?,厂,独体字,厂,厂,厂,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%8E%82
8105_full_0009,八,U+516B,9,独体字,?,八,独体字,八,八,八,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%85%AB
8105_full_0010,人,U+4EBA,10,独体字,?,人,独体字,人,人,人,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BA%BA
8105_full_0011,入,U+5165,11,独体字,?,入,独体字,入,入,入,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%85%A5
8105_full_0016,刁,U+5201,16,独体字,?,刁,独体字,刁,刁,刁,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%88%81
8105_full_0021,又,U+53C8,21,独体字,?,又,独体字,又,又,又,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%8F%88
8105_full_0028,士,U+58EB,28,独体字,?,士,独体字,士,士,士,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%A3%AB
8105_full_0031,寸,U+5BF8,31,独体字,?,寸,独体字,寸,寸,寸,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%AF%B8
