character,unicode_codepoint,parse_status,source_kind,radical,total_strokes,unicode_value,stroke_order,raw_structure,normalized_structure,glyph_analysis,authority_boundary,zdic_url
一,U+4E00,PARSED_WITH_STRUCTURE,online_fetch,一,1,CJK 4E00,1,单一结构,独体字,指事,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E4%B8%80
乙,U+4E59,PARSED_WITH_STRUCTURE,online_fetch,乙,1,CJK 4E59,5,单一结构,独体字,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E4%B9%99
丁,U+4E01,PARSED_WITH_STRUCTURE,online_fetch,一,2,CJK 4E01,12,单一结构,独体字,象形,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E4%B8%81
厂,U+5382,PARSED_WITH_STRUCTURE,online_fetch,厂,2,CJK 5382,13,单一结构,独体字,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%8E%82
八,U+516B,PARSED_WITH_STRUCTURE,online_fetch,八,2,CJK 516B,34,单一结构,独体字,指事,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%85%AB
人,U+4EBA,PARSED_WITH_STRUCTURE,online_fetch,人,2,CJK 4EBA,34,单一结构,独体字,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E4%BA%BA
入,U+5165,PARSED_WITH_STRUCTURE,online_fetch,入,2,CJK 5165,34,单一结构,独体字,象形,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%85%A5
刁,U+5201,PARSED_WITH_STRUCTURE,online_fetch,刀,2,CJK 5201,51,单一结构,独体字,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%88%81
刀,U+5200,PARSED_WITH_STRUCTURE,online_fetch,刀,2,CJK 5200,53,单一结构,独体字,象形,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%88%80
力,U+529B,NETWORK_OR_PARSE_GAP,online_fetch_failed,,,,,,,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%8A%9B
乃,U+4E43,NETWORK_OR_PARSE_GAP,online_fetch_failed,,,,,,,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E4%B9%83
又,U+53C8,PARSED_WITH_STRUCTURE,online_fetch,又,2,CJK 53C8,54,单一结构,独体字,,ZDIC_STRUCTURE_REFERENCE_NOT_NATIONAL_STANDARD,https://www.zdic.net/hans/%E5%8F%88
