row_id,character,unicode_codepoint,decimal_codepoint,scope,standard_level,standard_rank,source_level,candidate_structure_label,candidate_structure_status,candidate_decomposition,candidate_decomposition_status,direct_component_candidates,radical,radical_status,stroke_count,stroke_order,standard_evidence_status,standardizer_status,blocked_items,zdic_url,proposed_cnbe32,proposed_cnbe32_status,review_status,cnbe_write_status,database_rebuild_status,initial_fill_status,initial_fill_rule,initial_source_priority,initial_authority_boundary,initial_review_status,initial_cnbe_write_status,initial_database_rebuild_status,initial_completion_status,v03_tool_status,v03_tool_structure,v03_tool_decomposition,v03_tool_top_level_parts,v03_materialize_status,agent_struct_type,structure_code_candidate_status,cnbe32_write_status,human_review_decision_id,human_review_decision,human_review_status,authority_boundary,final_source_table_write_status,final_cnbe32_write_status,final_database_rebuild_status,human_review_basis
8105_full_0003,二,U+4E8C,20108,8105_national_standard_core,,3,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,二,HUMAN_APPROVED_V03_AGENT_REFERENCE,,二,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%BA%8C,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,二,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0004,十,U+5341,21313,8105_national_standard_core,,4,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,十,HUMAN_APPROVED_V03_AGENT_REFERENCE,,十,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%8D%81,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,十,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0007,七,U+4E03,19971,8105_national_standard_core,,7,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,七,HUMAN_APPROVED_V03_AGENT_REFERENCE,,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B8%83,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,七,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0008,卜,U+535C,21340,8105_national_standard_core,,8,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,卜,HUMAN_APPROVED_V03_AGENT_REFERENCE,,卜,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%8D%9C,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,卜,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0012,儿,U+513F,20799,8105_national_standard_core,,12,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,儿,HUMAN_APPROVED_V03_AGENT_REFERENCE,,儿,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%84%BF,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,儿,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0013,匕,U+5315,21269,8105_national_standard_core,,13,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,匕,HUMAN_APPROVED_V03_AGENT_REFERENCE,,匕,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%8C%95,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,匕,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0014,几,U+51E0,20960,8105_national_standard_core,,14,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,几,HUMAN_APPROVED_V03_AGENT_REFERENCE,,几,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%87%A0,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,几,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0015,九,U+4E5D,20061,8105_national_standard_core,,15,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,九,HUMAN_APPROVED_V03_AGENT_REFERENCE,,乙,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B9%9D,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,九,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0017,了,U+4E86,20102,8105_national_standard_core,,17,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,了,HUMAN_APPROVED_V03_AGENT_REFERENCE,,亅,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,COMPLETE,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%BA%86,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,COMPLETE_CANDIDATE_UNCHANGED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,了,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
8105_full_0018,刀,U+5200,20992,8105_national_standard_core,,18,national_standard_then_core_reference_then_network_cross_reference,独体字,HUMAN_APPROVED_V03_AGENT_REFERENCE,刀,HUMAN_APPROVED_V03_AGENT_REFERENCE,,刀,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,REVIEW_REQUIRED,HUMAN_APPROVED_V03_AGENT_REFERENCE_NO_SOURCE_WRITE,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%88%80,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_APPROVED_FOR_AGENT_CANDIDATE_LAYER,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED,TOOL_CONFLICT_REVIEW_REQUIRED,独体字,刀,,UNCHANGED,0,STRUCTURE_CODE_FROM_EXISTING_PACKET,NO_CNBE32_WRITE,HUMAN_REVIEW_2026_07_19_V03_ACCEPTED_JUE_DUTIZI,V03_ACCEPTED_AS_AGENT_REFERENCE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE,AGENT_STANDARD_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_CONFIRMED_HANZI_DECOMP_V03
