row_id,character,unicode_codepoint,decimal_codepoint,scope,standard_level,standard_rank,source_level,candidate_structure_label,candidate_structure_status,candidate_decomposition,candidate_decomposition_status,direct_component_candidates,radical,radical_status,stroke_count,stroke_order,standard_evidence_status,standardizer_status,blocked_items,zdic_url,proposed_cnbe32,proposed_cnbe32_status,review_status,cnbe_write_status,database_rebuild_status,initial_fill_status,initial_fill_rule,initial_source_priority,initial_authority_boundary,initial_review_status,initial_cnbe_write_status,initial_database_rebuild_status,initial_completion_status
8105_full_0005,丁,U+4E01,19969,8105_national_standard_core,,5,national_standard_then_core_reference_then_network_cross_reference,,STRUCTURE_STANDARD_SOURCE_EXTRACTION_REQUIRED,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,丁,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B8%81,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0018,刀,U+5200,20992,8105_national_standard_core,,18,national_standard_then_core_reference_then_network_cross_reference,右上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿹?丿,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,丿,刀,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%88%80,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0019,力,U+529B,21147,8105_national_standard_core,,19,national_standard_then_core_reference_then_network_cross_reference,镶嵌,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿻丿?,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,丿,力,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%8A%9B,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0020,乃,U+4E43,20035,8105_national_standard_core,,20,national_standard_then_core_reference_then_network_cross_reference,右上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿹?丿,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,丿,丿,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,2,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B9%83,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0025,亏,U+4E8F,20111,8105_national_standard_core,,25,national_standard_then_core_reference_then_network_cross_reference,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱二?,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,二,二,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%BA%8F,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0029,才,U+624D,25165,8105_national_standard_core,,29,national_standard_then_core_reference_then_network_cross_reference,镶嵌,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿻扌?,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,扌,扌,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%89%8D,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0034,与,U+4E0E,19982,8105_national_standard_core,,34,national_standard_then_core_reference_then_network_cross_reference,右上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿹?一,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,一,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B8%8E,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0035,万,U+4E07,19975,8105_national_standard_core,,35,national_standard_then_core_reference_then_network_cross_reference,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱一?,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,一,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B8%87,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0042,乞,U+4E5E,20062,8105_national_standard_core,,42,national_standard_then_core_reference_then_network_cross_reference,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱?乙,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,乙,乙,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B9%9E,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
8105_full_0047,久,U+4E45,20037,8105_national_standard_core,,47,national_standard_then_core_reference_then_network_cross_reference,镶嵌,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿻勹?,DECOMPOSITION_STANDARD_SOURCE_EXTRACTION_REQUIRED,勹,丿,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,,REVIEW_REQUIRED,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%B9%85,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,UNCHANGED,,,,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,REMAINING_GAP_REVIEW_REQUIRED
