char,unicode,standard_rank,repair_status,original_block_reason,radical_source,radical_source_status,radical_resolution_status,radical_resolution_reason,approved_radical,canonical_radical,proposed_radix,proposed_radix_name,approved_strokes,approved_structure,approved_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,roundtrip_pass,authority_boundary
队,U+961F,180,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,4,左右,3,⿰阝人,2854322672,0xAA2181F0,170,阜,4,左右,3,31,0,2854322672,0xAA2181F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邓,U+9093,185,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,4,左右,3,⿰又阝,2736892208,0xA321A930,163,邑,4,左右,3,659,0,2736892208,0xA321A930,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邦,U+90A6,348,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,6,左右,3,⿰丰阝,2737941088,0xA331AA60,163,邑,6,左右,3,678,0,2737941088,0xA331AA60,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邪,U+90AA,405,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,6,左右,3,⿰牙阝,2737941152,0xA331AAA0,163,邑,6,左右,3,682,0,2737941152,0xA331AAA0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
那,U+90A3,564,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,6,左右,3,⿰⿻刀二阝,2737941040,0xA331AA30,163,邑,6,左右,3,675,0,2737941040,0xA331AA30,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阵,U+9635,571,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,6,左右,3,⿰阝车,2855371600,0xAA318350,170,阜,6,左右,3,53,0,2855371600,0xAA318350,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阳,U+9633,572,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,6,左右,3,⿰阝日,2855371568,0xAA318330,170,阜,6,左右,3,51,0,2855371568,0xAA318330,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阶,U+9636,574,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,6,左右,3,⿰阝介,2855371616,0xAA318360,170,阜,6,左右,3,54,0,2855371616,0xAA318360,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阴,U+9634,575,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,6,左右,3,⿰阝月,2855371584,0xAA318340,170,阜,6,左右,3,52,0,2855371584,0xAA318340,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
防,U+9632,576,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,6,左右,3,⿰阝方,2855371552,0xAA318320,170,阜,6,左右,3,50,0,2855371552,0xAA318320,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
