char,unicode,standard_rank,block_reason,resolution_class,next_required_action,approved_radical,approved_strokes,approved_agent_structure,approved_agent_struct_type,source_model_presence,current_index_recoverable,decoded_current_index,decoded_ext,write_status,database_status,repair_status,remaining_reason,remaining_detail
刁,U+5201,16,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,刁,2,独体字,0,present,True,1025,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
巳,U+5DF3,62,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,3,独体字,0,present,True,2035,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.
卫,U+536B,65,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乛,3,独体字,0,present,True,1387,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
也,U+4E5F,66,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,3,独体字,0,present,True,95,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
飞,U+98DE,69,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,飞,3,独体字,0,present,True,734,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
长,U+957F,127,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,长,4,独体字,0,present,True,1919,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
巴,U+5DF4,178,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,4,独体字,0,present,True,2036,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.
兰,U+5170,306,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,5,上下,1,present,True,880,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
民,U+6C11,327,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,民,5,独体字,0,present,True,1553,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; not a Kangxi radical main-form in the mapping source.
关,U+5173,532,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,6,上下,1,present,True,883,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
乱,U+4E71,762,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,7,左右,3,present,True,113,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
乳,U+4E73,1175,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,8,左右,3,present,True,115,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
氓,U+6C13,1226,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,民,8,左右,3,present,True,1555,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; not a Kangxi radical main-form in the mapping source.
单,U+5355,1232,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,8,上下,1,present,True,1365,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
肃,U+8083,1303,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,肀,8,独体字,0,present,True,643,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
巷,U+5DF7,1406,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,9,上下,1,present,True,2039,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.
养,U+517B,1641,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,9,上中下,2,present,True,891,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
既,U+65E2,1721,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,旡,9,左右,3,present,True,2018,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
