审核序号,清单编号,汉字,Unicode,8105序号,规范等级,原始分层,现有轨道,数据库笔画数,基线笔画数,Unihan总笔画,笔画对照状态,cjk-decomp结构,cjkvi结构,结构对照状态,Unihan康熙部首号,审核结构（填写）,审核拆解或部件（填写）,审核笔画数（填写）,审核部首（填写）,审核结论（填写）,审核说明（填写）,审核人（填写）,审核日期（填写）,证据边界,编码状态
1,PENC_001,㑇,U+3447,6602,三级,T1,provisional,7,7,7,agree,左右,左右,agree,9,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
2,PENC_002,㑊,U+344A,6700,三级,T1,provisional,8,8,8,agree,左右,左右,agree,9,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
3,PENC_003,㕮,U+356E,6592,三级,T1,provisional,7,7,7,agree,左右,左右,agree,30,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
4,PENC_004,㘎,U+360E,7936,三级,T2,provisional,17,17,18,diff,左右,左右,agree,30,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
5,PENC_005,㙍,U+364D,7118,三级,T1,provisional,11,11,11,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
6,PENC_006,㙘,U+3658,7292,三级,T1,provisional,12,12,12,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
7,PENC_007,㙦,U+3666,7698,三级,T1,provisional,14,14,14,agree,上下,上下,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
8,PENC_008,㛃,U+36C3,6757,三级,T1,provisional,9,9,9,agree,上下,上下,agree,38,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
9,PENC_009,㛚,U+36DA,7088,三级,T1,provisional,10,10,10,agree,左右,左右,agree,38,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
10,PENC_010,㛹,U+36F9,7450,三级,T1,provisional,12,12,12,agree,左右,左右,agree,38,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
11,PENC_011,㟃,U+37C3,6686,三级,T1,provisional,8,8,8,agree,左右,左右,agree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
12,PENC_012,㠇,U+3807,7782,三级,T1,provisional,15,15,15,agree,上下,上下,agree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
13,PENC_013,㠓,U+3813,7868,三级,T1,provisional,16,16,16,agree,左右,左右,agree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
14,PENC_014,㤘,U+3918,4031,二级,T1,provisional,8,8,8,agree,左右,左右,agree,61,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
15,PENC_015,㥄,U+3944,7242,三级,T1,provisional,11,11,11,agree,左右,左右,agree,61,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
16,PENC_016,㧐,U+39D0,3658,二级,T1,provisional,7,7,7,agree,左右,左右,agree,64,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
17,PENC_017,㧑,U+39D1,6567,三级,T1,provisional,7,7,7,agree,左右,左右,agree,64,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
18,PENC_018,㧟,U+39DF,3848,二级,T1,provisional,8,8,8,agree,左右,左右,agree,64,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
19,PENC_019,㫰,U+3AF0,7158,三级,T1,provisional,11,11,11,agree,左右,左右,agree,72,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
20,PENC_020,㬊,U+3B0A,7520,三级,T1,provisional,13,13,13,agree,上下,上下,agree,72,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
21,PENC_021,㬎,U+3B0E,7672,三级,T0,standard,14,14,14,agree,上下,上下,complete_in_db,72,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
22,PENC_022,㬚,U+3B1A,7862,三级,T4,provisional,16,16,16,agree,左右,左中右,disagree,72,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
23,PENC_023,㭎,U+3B4E,6664,三级,T1,provisional,8,8,8,agree,左右,左右,agree,75,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
24,PENC_024,㭕,U+3B55,6797,三级,T1,provisional,9,9,9,agree,左右,左右,agree,75,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
25,PENC_025,㮾,U+3BBE,7736,三级,T2,provisional,14,14,15,diff,上下,上下,agree,75,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
26,PENC_026,㰀,U+3C00,8032,三级,T1,provisional,19,19,19,agree,左右,左右,agree,75,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
27,PENC_027,㳇,U+3CC7,6618,三级,T1,provisional,7,7,7,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
28,PENC_028,㳘,U+3CD8,6896,三级,T1,provisional,9,9,9,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
29,PENC_029,㳚,U+3CDA,6884,三级,T1,provisional,9,9,9,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
30,PENC_030,㴔,U+3D14,7431,三级,T1,provisional,12,12,12,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
31,PENC_031,㵐,U+3D50,7815,三级,T1,provisional,15,15,15,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
32,PENC_032,㶲,U+3DB2,6879,三级,T1,provisional,9,9,9,agree,左右,左右,agree,86,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
33,PENC_033,㸆,U+3E06,6411,二级,T1,provisional,19,19,19,agree,左右,左右,agree,86,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
34,PENC_034,㸌,U+3E0C,8064,三级,T1,provisional,20,20,20,agree,左右,左右,agree,86,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
