row_id,char,unicode,tier,struct_cjkvi,owner_audit_structure_note,decomposition_status,candidate_cnbe_status,source_boundary,review_result,review_note,reviewer_id,review_date
PENC_169,𫢸,U+2B8B8,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_170,𫫇,U+2BAC7,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_171,𫭟,U+2BB5F,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_172,𫭢,U+2BB62,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_173,𫭼,U+2BB7C,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_174,𫮃,U+2BB83,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_175,𫰛,U+2BC1B,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_176,𫵷,U+2BD77,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_177,𫶇,U+2BD87,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_178,𫷷,U+2BDF7,T3,左上包,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_179,𫸩,U+2BE29,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_180,𬀩,U+2C029,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_181,𬀪,U+2C02A,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_182,𬂩,U+2C0A9,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_183,𬃊,U+2C0CA,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_184,𬇕,U+2C1D5,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_185,𬇙,U+2C1D9,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_186,𬇹,U+2C1F9,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_187,𬉼,U+2C27C,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_188,𬊈,U+2C288,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_189,𬊤,U+2C2A4,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_190,𬌗,U+2C317,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_191,𬍛,U+2C35B,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_192,𬍡,U+2C361,T3,上下,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_193,𬍤,U+2C364,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_194,𬒈,U+2C488,T3,上中下,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_195,𬒔,U+2C494,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_196,𬒗,U+2C497,T3,左右,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
PENC_197,𬕂,U+2C542,T3,上下,struct_cjkvi_accurate,REQUIRED_SECOND_SOURCE_AND_DECOMPOSITION_TREE,NOT_GENERATED,owner audit confirms the existing cjkvi label; it does not create a second source,,,,
